序号	提交答卷时间	所用时间	来源	来源详情	来自IP	"1、请回答一个0-100之间的整数。假设所有人对本题回答的平均数是y,如果你的回答和2/3*y最接近(即|你的回答-2/3*y|最小),就能获得奖励。"	2、猜猜上一题会有哪些常见的回答？(可以回答多个,请用逗号隔开)
31	2021/9/30 16:04:08	124秒	微信	:[未知,,]	124.205.77.167(北京-北京)	14	34,22,14,10,6,4,2,1
38	2021/9/30 16:04:54	92秒	微信	^_^[男,浙江,宁波]	124.205.77.245(北京-北京)	20	20,15,10,25,30,40,50
101	2021/9/30 16:10:55	33秒	微信	alc💫[女,北京,海淀]	124.64.18.55(北京-北京)	72	67,80
12	2021/9/30 16:03:01	59秒	微信	Allen[男,山东,烟台]	124.64.19.5(北京-北京)	7	67,66,33,34,22,23,0,1,2,3,4,5,6,7,8,9,10
44	2021/9/30 16:05:20	73秒	微信	AndreXu[未知,,]	124.205.76.6(北京-北京)	42	40,45,30,50
47	2021/9/30 16:05:34	69秒	微信	Arfus[男,北京,石景山]	106.121.138.37(北京-北京)	100	15
23	2021/9/30 16:03:42	67秒	微信	asd123www[未知,河北,邯郸]	124.205.76.114(北京-北京)	0	0
4	2021/9/30 16:02:45	17秒	微信	Avalon[男,,]	223.104.38.121(北京-北京)	14	0 1 100
93	2021/9/30 16:09:44	93秒	微信	Azure[未知,,]	223.104.38.107(北京-北京)	1	0
94	2021/9/30 16:09:44	36秒	微信	Color[未知,,]	124.205.76.201(北京-北京)	30	39,44,12
86	2021/9/30 16:08:38	315秒	微信	Cuipy[男,,]	223.104.40.19(北京-北京)	21	10
78	2021/9/30 16:07:45	337秒	微信	Dee_Why[男,奥克兰,]	114.254.2.170(北京-北京)	18	66,0,1,30
9	2021/9/30 16:02:57	57秒	微信	desperater[未知,,]	124.205.76.148(北京-北京)	35	33,42,48
5	2021/9/30 16:02:49	41秒	微信	eee[未知,,]	124.205.77.188(北京-北京)	20	0,20,30
124	2021/9/30 16:21:24	53秒	微信	F.L.[男,吉林,长春]	124.64.19.74(北京-北京)	18	0,1,13,100
16	2021/9/30 16:03:26	90秒	微信	FA_FOREVER[男,北京,海淀]	124.205.77.104(北京-北京)	34	50,33,66
10	2021/9/30 16:02:57	60秒	微信	fgh[未知,,]	124.205.77.31(北京-北京)	28	50
120	2021/9/30 16:15:12	8秒	微信	Golse[男,北京,海淀]	124.205.77.164(北京-北京)	53	80
96	2021/9/30 16:10:33	324秒	微信	gumBall[男,,]	124.205.77.50(北京-北京)	36	44,30
59	2021/9/30 16:06:19	126秒	微信	Hackberry[女,湖南,常德]	124.205.77.82(北京-北京)	20	30
33	2021/9/30 16:04:18	140秒	微信	infedg[男,,]	124.205.77.140(北京-北京)	5	0,100,66,50
6	2021/9/30 16:02:53	20秒	微信	J.S.Wang[男,里昂,]	124.205.77.215(北京-北京)	15	1,100
18	2021/9/30 16:03:28	82秒	微信	Jerry[男,广东,江门]	124.205.76.49(北京-北京)	0	16
106	2021/9/30 16:11:37	68秒	微信	jiangyumin1010[女,,]	124.205.77.184(北京-北京)	26	33
99	2021/9/30 16:10:42	9秒	微信	josuke[女,,]	124.205.76.217(北京-北京)	13	65
61	2021/9/30 16:06:25	170秒	微信	jumpmelon[男,陕西,西安]	223.104.40.223(北京-北京)	16	0,44,66,100
25	2021/9/30 16:03:51	16秒	微信	Kirito[男,浙江,杭州]	106.121.8.138(北京-北京)	66	66
67	2021/9/30 16:06:49	287秒	微信	L[男,,]	223.104.3.197(北京-北京)	1	0,1,33
8	2021/9/30 16:02:55	23秒	微信	Leeson[男,北京,海淀]	124.205.76.212(北京-北京)	27	40
84	2021/9/30 16:08:32	278秒	微信	legendary AXZ[男,北京,海淀]	114.242.248.93(北京-北京)	6	1,2,3,4,5,6,7,8
35	2021/9/30 16:04:37	140秒	微信	LFY－万丘[男,,]	124.64.19.164(北京-北京)	30	43,67
15	2021/9/30 16:03:13	55秒	微信	metaphysics[男,,]	124.205.76.91(北京-北京)	83	90
103	2021/9/30 16:10:57	28秒	微信	MG[男,福建,泉州]	124.205.77.69(北京-北京)	40	0,100
68	2021/9/30 16:06:51	293秒	微信	Misaka Mikoto[未知,,]	124.205.76.12(北京-北京)	7	16
45	2021/9/30 16:05:27	166秒	微信	MroNak[男,北京,海淀]	221.216.116.210(北京-北京)	1	33,22,14,0,1
51	2021/9/30 16:05:39	219秒	微信	Muse[男,,]	223.104.42.214(北京-北京)	20	10,20,30,40
43	2021/9/30 16:05:13	60秒	微信	MuteAll[未知,,]	124.205.77.243(北京-北京)	14	33 22 14 1
1	2021/9/30 16:02:25	28秒	微信	Nikaido[男,湖南,长沙]	124.205.77.141(北京-北京)	34	50
30	2021/9/30 16:04:07	125秒	微信	panole[男,浙江,丽水]	223.104.38.104(北京-北京)	28	44,50,66
115	2021/9/30 16:13:40	33秒	微信	Present[男,北京,海淀]	36.112.179.71(北京-北京)	31	0
126	2021/9/30 16:41:22	1666秒	微信	QbethQ[男,江苏,南京]	124.205.76.180(北京-北京)	0	0,1
97	2021/9/30 16:10:41	121秒	微信	REminisce[女,北京,海淀]	36.112.189.18(北京-北京)	6	不造
20	2021/9/30 16:03:31	70秒	微信	sakura[男,,]	124.205.77.84(北京-北京)	5	0
123	2021/9/30 16:18:36	98秒	微信	sherco[男,湖南,岳阳]	106.121.71.9(北京-北京)	16	33,0,16
82	2021/9/30 16:08:08	64秒	微信	Smolive[男,福建,泉州]	124.64.18.168(北京-北京)	10	20
80	2021/9/30 16:08:05	79秒	微信	smy[男,巴黎,]	124.205.76.91(北京-北京)	0	33,22,0,15,10,7
2	2021/9/30 16:02:41	40秒	微信	Spirited Away[男,重庆,]	124.205.77.78(北京-北京)	3	0,1
88	2021/9/30 16:08:53	76秒	微信	stallone[男,,]	223.104.44.106(北京-北京)	11	1
21	2021/9/30 16:03:32	68秒	微信	Stanley CS18[男,浙江,杭州]	117.136.38.234(北京-北京)	0	50,33,22,15,10,7,5,3,2,1,0
32	2021/9/30 16:04:16	132秒	微信	steady[男,吉林,长春]	124.205.77.17(北京-北京)	32	40
73	2021/9/30 16:07:13	18秒	微信	Tim[男,广东,深圳]	124.205.76.194(北京-北京)	0	0 1
113	2021/9/30 16:12:44	77秒	微信	TZL[未知,,]	223.104.39.119(北京-北京)	1	0,1
42	2021/9/30 16:05:13	140秒	微信	-v-[男,,]	124.205.77.8(北京-北京)	9	0,50,33,17
116	2021/9/30 16:13:59	89秒	微信	void🧐[男,,]	223.104.39.245(北京-北京)	28	50,33,22
102	2021/9/30 16:10:56	43秒	微信	wdyhy[未知,,]	61.148.244.138(北京-北京)	27	40
57	2021/9/30 16:05:54	180秒	微信	Wearry[未知,,]	124.205.77.60(北京-北京)	23	33,20
46	2021/9/30 16:05:33	204秒	微信	Wety[男,北京,海淀]	223.104.42.182(北京-北京)	25	25
85	2021/9/30 16:08:34	257秒	微信	Wind[男,浙江,杭州]	106.121.137.72(北京-北京)	28	28
118	2021/9/30 16:14:21	106秒	微信	xjr[男,,]	223.104.44.89(北京-北京)	33	33,66
77	2021/9/30 16:07:37	244秒	微信	yjw[男,北京,]	223.104.42.142(北京-北京)	33	33,22,28
107	2021/9/30 16:11:43	58秒	微信	zyc[未知,,]	124.205.76.63(北京-北京)	0	0,10,5
79	2021/9/30 16:07:48	296秒	微信	🙃[女,昆士兰,黄金海岸]	124.205.76.185(北京-北京)	10	0,10,30
109	2021/9/30 16:11:58	58秒	微信	阿噗噜派[男,上海,浦东新区]	106.120.232.225(北京-北京)	20	33 22
13	2021/9/30 16:03:08	42秒	微信	吧吧啦吧啦[男,,]	124.205.76.44(北京-北京)	29	21,50
48	2021/9/30 16:05:35	127秒	微信	冰阳[男,浙江,宁波]	124.205.76.10(北京-北京)	20	20,30,15,18,1,100
95	2021/9/30 16:10:06	141秒	微信	饼[男,浙江,金华]	124.64.16.16(北京-北京)	18	0,33,22,18
112	2021/9/30 16:12:40	21秒	微信	曹修齐[男,罗马,]	61.148.244.13(北京-北京)	17	33,62
83	2021/9/30 16:08:18	100秒	微信	缠住春风[男,江西,吉安]	124.205.76.16(北京-北京)	25	66,67,0
14	2021/9/30 16:03:12	74秒	微信	晨雨[女,,]	223.104.38.120(北京-北京)	0	0
69	2021/9/30 16:06:51	109秒	微信	创世神丐[男,山东,烟台]	124.205.76.50(北京-北京)	1	1
36	2021/9/30 16:04:43	153秒	微信	达瓦里氏[男,,]	223.104.42.179(北京-北京)	22	33
41	2021/9/30 16:05:02	124秒	微信	大魏魏[男,巴塞罗那,]	223.104.39.246(北京-北京)	1	33,22,1
122	2021/9/30 16:17:28	335秒	微信	二重の虹[男,浙江,温州]	124.205.76.73(北京-北京)	10	10,20,30,40
75	2021/9/30 16:07:19	151秒	微信	刚好[男,浙江,台州]	124.64.19.129(北京-北京)	10	0,33,50,100
66	2021/9/30 16:06:45	288秒	微信	高涵[未知,,]	124.205.76.42(北京-北京)	10	33,22,15,13,10
53	2021/9/30 16:05:40	48秒	微信	耿浩然[男,北京,海淀]	223.104.39.193(北京-北京)	0	0
63	2021/9/30 16:06:36	186秒	微信	耿逸然[男,,]	124.205.77.10(北京-北京)	10	0,20,10,5
81	2021/9/30 16:08:06	147秒	微信	谷哥是鸽子的歌[男,北京,海淀]	223.104.3.153(北京-北京)	6	0
56	2021/9/30 16:05:53	154秒	微信	还珠格格[女,苏黎世,]	223.104.3.211(北京-北京)	1	0
104	2021/9/30 16:11:06	47秒	微信	韩啸[未知,,]	124.205.76.192(北京-北京)	40	30,50
27	2021/9/30 16:03:55	115秒	微信	红色精灵[男,上海,徐汇]	124.205.77.60(北京-北京)	4	0,1,2
98	2021/9/30 16:10:41	17秒	微信	欢乐马[未知,,]	124.205.76.97(北京-北京)	50	65
125	2021/9/30 16:29:52	58秒	微信	李浩雨[男,,]	36.112.184.141(北京-北京)	0	0
26	2021/9/30 16:03:53	106秒	微信	李宁远[男,浙江,杭州]	124.205.77.118(北京-北京)	11	60,30,1,0
24	2021/9/30 16:03:49	101秒	微信	李秋爽[男,山东,泰安]	124.205.77.88(北京-北京)	0	0
49	2021/9/30 16:05:38	53秒	微信	李泽宇[男,,]	161.117.255.115(国外-新加坡)	18	50,33,22,17,18,19,0,5,3
92	2021/9/30 16:09:42	415秒	微信	鲁琦琨[男,安徽,合肥]	124.205.76.111(北京-北京)	15	0,1,17,20,22,33
50	2021/9/30 16:05:39	174秒	微信	陆江淼[男,山东,]	124.205.76.102(北京-北京)	44	66,44,33,22
