几丁质 纤维素
忘了 高中学了的
磷酸 磷酸
protein protein,脂质,膜,油
phos_bi 不知道
phos_bi 糖蛋白
phos_bi 20%
phos_bi phos_bi
phos_bi 不知道
cellwall 细胞核
磷酸二脂键 protein
protein 40%
protein protein
phos_bi phos,phos_bi,protein
phos_bi 不知道
phos_bi 不知道
phos_bi protein
不清楚 不清楚
磷酸二磷脂 磷酸二磷脂,磷酸酯,ATP
不知道 20%
phos_bi protein
phos_bi phos_bi
phos_bi phos_bi
phos_bi protein
磷酸双分子层 磷酸双分子层
不知道 不知道
phos_bi 0.9
protein 不知道
phos_bi phos_bi
protein 40%
phos_bi phos
phos_bi 40
phos_bi 磷脂单分子层
phos phos
不知道 不知道
phos_bi 不知道
phos phos
phos_bi 钙,糖蛋白
phos_bi 磷酸
phos_bi protein,phos
phos_bi 脂质,protein
不知道 无
双磷酸二酯 不知道
phos phos
不知道 不知道
不知道 不知道
phos_bi 纤维
不知道 不知道
phos_bi phos_bi,protein
phos phos,protein,纤维素
phos_bi phos_bi
phos_bi protein
phos_bi phos_bi,不知道
磷酸脂双分子层 不知道
磷xxxx 不知道
不知道 不知道
不知道 不知道
草不记得了x 草不记得了x
phos_bi 碳链
脂质双分子层 脂质双分子层,微管,protein
phos 脂质,protein
phos phos
protein phos
不知道 不知道
phos_bi protein
protein 不知道
碳 不知道
phos_bi protein
cellwall cellwall
cellwall 细胞核
磷酸双分子层 protein
phos_bi 不知道
phos_bi 流动镶嵌模型
phos_bi 不知道
不知道 不知道
磷酸二脂键 不知
磷酸二聚体 不知道
不知道 1%
phos_bi 磷脂单分子层
不知道 不知道
phos_bi protein,phos
phos protein
phos protein
不知道 不知道
蛋白纤维 不知道
phos_bi phos_bi
不知道 不知道
phos_bi phos_bi,不知道
磷酸蛋白质 40
protein 不知道
不知道 不知道
细胞质 不知道
phos 膦脂
不知道 不知道
phos_bi protein
cellwall cellwall
phos_bi 双层磷脂分子,磷脂单分子层
三磷酸腺苷 不知道
