22、我国历史上第一部编年体史书是《______》?（如答案应为《xxx》则填：xxx）	23、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开
ZuoZhuan	ZuoZhuan
Chunqiu	Shiji
Chunqiu	Shiji
ZuoZhuan	ZuoZhuan
ZuoZhuan	二人转
ZizhiTongjian	ZizhiTongjian,汉书,Shiji
ZizhiTongjian	ZizhiTongjian
Chunqiu	ZizhiTongjian
ZuoZhuan	Shiji
Chunqiu	同上
ZuoZhuan	40%
Chunqiu	Chunqiu,Shiji
不知道	不知道
ZuoZhuan	Shiji
Shiji	ZuoZhuan
Chunqiu	Shiji
ZizhiTongjian	Shiji
Shiji	无
ZuoZhuan	Chunqiu
Chunqiu	Chunqiu,ZuoZhuan,ZizhiTongjian
Shiji	不知道
ZuoZhuan	ZizhiTongjian
Shiji	ZizhiTongjian
ZizhiTongjian	不知道
ZizhiTongjian	Shiji
ZizhiTongjian	ZizhiTongjian
不知道	Shiji
Chunqiu	不知道
ZuoZhuan	Shiji
Chunqiu	不知道
Shiji	不知道
ZuoZhuan	ZizhiTongjian
Chunqiu	ZizhiTongjian
Shiji	不知道
1	1
ZuoZhuan	Shiji
Shiji	Shiji
ZuoZhuan	ZuoZhuan
Shiji	80%
Shiji	ZizhiTongjian
Chunqiu	Chunqiu
ZuoZhuan	Shiji
汉书	Shiji
Chunqiu	Chunqiu ZizhiTongjian
Chunqiu	ZuoZhuan
Chunqiu	Shiji,ZizhiTongjian
ZuoZhuan	60
ZuoZhuan	Shiji,Chunqiu
ZuoZhuan	Shiji,Chunqiu,ZuoZhuan,战国策,国语
ZuoZhuan	Shiji
不知道	Shiji
Chunqiu	Shiji；Chunqiu
ZizhiTongjian	Shiji
Chunqiu	Chunqiu
Chunqiu	Chunqiu;ZuoZhuan;ZizhiTongjian
Chunqiu	Chunqiu
Chunqiu	国语
ZuoZhuan	ZizhiTongjian
Chunqiu	Shiji
ZizhiTongjian	Shiji
ZizhiTongjian	ZizhiTongjian
Shiji	Shiji, ZuoZhuan, 尚书
ZizhiTongjian	60%
Shiji	unknown
ZuoZhuan	Shiji
Shiji	不知道
Chunqiu	Chunqiu
Chunqiu	Chunqiu
Chunqiu	Chunqiu,ZuoZhuan
Chunqiu	Shiji
Chunqiu	ZuoZhuan
ZuoZhuan	历记
ZuoZhuan	30%
Chunqiu	ZizhiTongjian
不知道	Shiji
ZizhiTongjian	Shiji
Chunqiu	Chunqiu,ZuoZhuan,Shiji
Chunqiu	不知道
Chunqiu	。。
Shiji	90%
ZuoZhuan	ZuoZhuan
Shiji	不知道
Chunqiu	ZuoZhuan
ZuoZhuan	ZizhiTongjian
ZizhiTongjian	Shiji
Chunqiu	Chunqiu
ZuoZhuan	ZizhiTongjian
Shiji	不知道
Chunqiu	Shiji,ZizhiTongjian
ZizhiTongjian	ZizhiTongjian
Chunqiu	ZuoZhuan
Shiji	无
Shiji	二十四史
Chunqiu	ZuoZhuan
《ZizhiTongjian》	《Shiji》
Chunqiu	Shiji
ZizhiTongjian	ZizhiTongjian
不知道	不知道
Shiji	不知道
ZizhiTongjian	不确定所以不填
三国志	Shiji
司马迁的那本什么	60%
ZuoZhuan	ZuoZhuan
ZuoZhuan	不知道
ZizhiTongjian	Shiji
《ZizhiTongjian》	《ZizhiTongjian》,《Shiji》
Shiji	Shiji
ZizhiTongjian	Shiji
Chunqiu	ZuoZhuan
ZizhiTongjian	Shiji
不知道	Shiji
ZizhiTongjian	Chunqiu, Shiji
Chunqiu	汉书
Chunqiu	Chunqiu
Chunqiu	ZuoZhuan,Chunqiu
Chunqiu	ZizhiTongjian,Shiji
Chunqiu	Shiji
Chunqiu	Chunqiu
Chunqiu	40％
Chunqiu	ZuoZhuan,Shiji
ZizhiTongjian	Shiji
ZizhiTongjian	Shiji
ZuoZhuan	不知道
ZuoZhuan	ZuoZhuan,Shiji,战国策,ZizhiTongjian,尚书,
Chunqiu	ZuoZhuan
ZuoZhuan	Shiji
