序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1.球内任取四点,连起来构成的三棱锥包括球心的概率是多少？	2.你觉得其他人上一题可能会回答什么？(如果有多请用逗号隔开：比如一种答案可能是：1/2,2/3,3)	"3. 请计算下式:"	4.你觉得其他人上一题可能会回答什么？(要求同上)	5.有各棱长均相等的一正三棱锥和一正四棱锥,当将它们的一侧面完全重合地粘贴在一起后,新形成的几何体有几外露面？	6.你觉得其他人上一题可能会回答什么？(要求同上)	7.已知小数0.1234567891011121314...是一由连续自然数拼接组成的无限不循环小数,问小数点后面出现的第一201中的2是小数点后面第几位？	8.你觉得其他人上一题可能会回答什么？(要求同上)	9.幼儿园老师小M让所有小盆友站成一横排发水果,分法如下：从左边第一人开始,每隔2人发一梨。从右边第一人开始,每隔4人发一苹果。共有9小盆友既得到了梨,又得到了苹果。幼儿园最多有多少小朋友？	10.你觉得其他人上一题可能会回答什么？(要求同上)	11.一四分钟标准的沙漏和一五分钟标准的沙漏进行6分钟的计时,中途至少需要将沙漏颠倒几?	12.你觉得其他人上一题可能会回答什么？(要求同上)	13.图中是一直径为2的半圆,点C,D,E将直径AB平分成四份,用○标出的角度均为45°,请问蓝色部分和黄色部分的面积相差多少？	14.你觉得其他人上一题可能会回答什么？(要求同上)	15.有无数石头从1号开始排成一列,Alice从1号石头出发,每丢一六面骰决定向前走几石头。用p(x)表示Alice经过第x石头的概率(比如p(1)=1,p(2)=1/6),请问当x趋向于无穷时,p(x)会收敛到几？	16.你觉得其他人上一题可能会回答什么？(要求同上)	"17.如下图,九边长为正整数的正方形无重叠无间隙地拼成了一矩形,求这矩形面积的最小值。"	18.你觉得其他人上一题可能会回答什么？(要求同上)	19.如图,矩形的一条长平均分成了六份,另一条长平均分成了四份。如果蓝色三角形的面积是18,那么“?” 所在的部分的面积是多少？	20.你觉得其他人上一题可能会回答什么？(要求同上)
2	2021/1/26 16:09:29	216秒	微信	N/A	123.147.248.229(重庆-重庆)	1/4	1/2	1/2	1/2	7	7	55	100	66	77	2	1	2	2	1	1	256	225	75	90
3	2021/1/26 16:09:51	240秒	微信	N/A	125.95.123.215(广东-佛山)	3/4	3/5,1/2,4/5	n²	1/n	7	8	6	5/4/3	45	39,42	3	2/4	0.33	0.3	2	1/3	1	3/5	15	18
4	2021/1/26 16:09:56	186秒	微信	N/A	120.230.76.144(广东-广州)	3/4	5/7	1	n	6	6	14	21	39	39	3	4	1/2	1/3	1	1/2	1/aˆ2	1/a	36	36
7	2021/1/26 16:13:20	141秒	微信	N/A	223.104.212.216(上海-上海)	1/2	3/4	1/2	1/2	7	7	50	100	36	50	3	2	10	5	1/3	1/3	1	9	36	54
8	2021/1/26 16:14:02	239秒	微信	N/A	183.195.64.177(上海-上海)	1/4	1/5	1	3	7	7	2000	1500	132	132	1	1	pi	Pi	1/2	1/2	0.4	0.4	25	25
9	2021/1/26 16:14:15	487秒	微信	N/A	59.33.235.45(广东-惠州)	3/4	1/4,0	1/2	1/2	5	3,9	782	783	141	158	3	4	1/3派	0	4	4	27	38	27	18
10	2021/1/26 16:14:40	581秒	微信	N/A	111.8.84.157(湖南-湘潭)	1/8	1/8	1/2	0	8	8	251	251	37	37	3	3	1/2	1/2	0	0	18	20	30	30
11	2021/1/26 16:15:48	567秒	微信	N/A	115.27.201.220(北京-北京)	1/2	3/4	0	1/2	7	7	251	493	50	50	4	4	1	1	1/6	1/6	9	9	52	52
12	2021/1/26 16:17:40	664秒	微信	N/A	171.93.135.112(四川-成都)	1/2	1/2	0	0	7	7	1314	6666	53	88	3	2	1/3	1/2	0	0	324	400	36	36
13	2021/1/26 16:18:12	136秒	微信	N/A	223.104.213.28(上海-上海)	1/3	2/3	0	0	7	8	3	8	12	12	4	6	2pai	pai	1	1/2	1/2	0	48	48
14	2021/1/26 16:18:46	311秒	微信	N/A	123.134.172.121(山东-莱芜)	1/2	1/2	1/2	0	7	5	2010	2010	135	135	2	2	1.57	1.57	1/6	1/6	100	100	36	36
15	2021/1/26 16:19:34	645秒	微信	N/A	59.33.235.45(广东-惠州)	1/3	1/4,3/4,0	1/2	1/2	5	4,7	738	756	141	158	5	3,7	3/4派	0,1/2派	6	5	27	18	24	18
17	2021/1/26 16:20:20	191秒	微信	N/A	116.252.232.189(广西-贵港)	1/2	1/2,2/3	不知道	不知道	8	8	1304	1304	34	34	2	2	相差很多	相差很多	4	4	2,3	2,3	39	39
18	2021/1/26 16:20:55	829秒	微信	N/A	117.136.79.52(广东-广州)	1/4	1/6	n	1/n	5	5	1000	900	36	36	2	2	1/8π*π	1/6π*π	100	1000	1/1000	1/100	56	46
19	2021/1/26 16:21:42	750秒	微信	N/A	113.5.7.70(黑龙江-哈尔滨)	1/2	1/2	0	1/2	6	6	99	89	38	36	3	2	2pi	2pi	1/6	1/6	81	49	63	54
22	2021/1/26 16:24:14	371秒	微信	N/A	59.52.24.86(江西-南昌)	1	1/2,1	0	0	7	7,8	2	3	9	9	2	1	0	0	0	0	0	0	36	18,36
24	2021/1/26 16:25:53	346秒	微信	N/A	59.33.235.45(广东-惠州)	3.141596	3/2	1/2	1/2,1/3	7	7	402	402	15	15	30	30	45派	45派	3	3	1/9	1/9	9	9
25	2021/1/26 16:26:10	519秒	微信	N/A	111.173.171.26(湖北-咸宁)	1	1	n平方减一分之n平方	1	8	1/7	31	1/30	32	1/34	1	2	1/3	1/2	1/10	1	0	1	80	78
26	2021/1/26 16:27:36	1218秒	微信	N/A	113.26.170.246(山西-吕梁)	1/8	1/2	1/2	1/2,0	7	7	400	400	143	143	1	1,2	2	2	0	0	1056	1056	56	50,52,56
27	2021/1/26 16:28:17	332秒	微信	N/A	120.83.116.56(广东-揭阳)	8/35	2.2	3	2/3	5	2/5	6	1/6	23	24	4	4	8	7/1.5	5	4	1	18	2	1
28	2021/1/26 16:29:42	151秒	微信	N/A	111.173.171.26(湖北-咸宁)	1	1	n的平方	2	7	8	30	29	32	34	1	1	1/3	2	0	1	0	1	90	72
29	2021/1/26 16:30:54	575秒	微信	N/A	59.33.235.45(广东-惠州)	3/4	1/2,1/4	1/2	1/3,2/3	7	6	782	783,781	141	142,140	2	3,4	1/4π	1/3π,1/2π	5	1,0	196	225,169	6	12
30	2021/1/26 16:32:03	448秒	微信	N/A	59.52.24.86(江西-南昌)	1	1/2,1	0	0	7	7,8	2	3	9	9	2	1	0	0	0	0	0	0	36	36,18
31	2021/1/26 16:32:57	959秒	微信	N/A	113.26.170.246(山西-吕梁)	1/2	1/2	1/2	1,1/2	7	7	664	450	143	143	1	1,2	1/2	1,'1/2	0	0	1056	1056	52	54
32	2021/1/26 16:33:29	502秒	微信	N/A	171.114.179.177(湖北-咸宁)	1/2	2/3	1/2	2	5	9	325	3226	158	158	3	2	1/2	2	1	2	196	291	28.26	6
33	2021/1/26 16:33:45	1710秒	微信	N/A	125.62.5.14(重庆-重庆)	1/4	1/2,1/4,1/8	0	0,1/2	7	7	251	250,251,252	121	121,124	2	2,3	1/4	1/4,pi/12	2/7	1/2,1/3,2/7,1/6	1056	1056	52	52,54
34	2021/1/26 16:34:05	358秒	微信	N/A	223.104.50.216(福建-厦门)	1/2	1/2	1	1	7	7	1255	1255	26	29	3	3	1/4π	1/4π	1/1000	1/1000	5	5	36	36
35	2021/1/26 16:34:59	1585秒	微信	N/A	114.95.212.187(上海-上海)	1/3	1/2,1/3,2/3,3/5	0	0,1	7	6,7,8	700	720,100	72	68,72	12	6,12	0.79	3.14,0.79	1	0,1	529	676,529	108	108,324
37	2021/1/26 16:39:35	241秒	微信	N/A	171.114.179.177(湖北-咸宁)	2	2	2	3/1	6	5,9	296	328	158	276	2	3	2	2/2	1	4/1	196	269	2	6
38	2021/1/26 16:39:41	132秒	微信	N/A	118.212.199.102(江西-赣州)	1	1,1/2	0	0,1	7	7,8	2	2,3	9	9,10	2	2,3	0	0	0	0	0	0	36	18,36
39	2021/1/26 16:40:03	361秒	微信	N/A	171.114.179.177(湖北-咸宁)	1/2	2	2	1/2	9	5,6	206	258	158	276	2	2	2	2	1	4	196	286	2	5
40	2021/1/26 16:41:34	2252秒	微信	N/A	124.64.18.39(北京-北京)	1/4	1/4	0	0,1/2	7	6,7	248	248,493	139	135,136,137,138,139	8	6,7,8,9	0.3535	0.3535	1/6	1/6	552	552,529,576	24	24
41	2021/1/26 16:41:54	655秒	微信	N/A	1.207.157.78(贵州-黔西南)	1/3	2/3	1/2	0,1/2	7	7	251	251	135	135	2	2	1/6	1/6	0	0	121	121	36	36
42	2021/1/26 16:42:23	1564秒	微信	N/A	182.101.215.231(江西-吉安)	3/4	2/3	1/2	1/3	6	7	35	34	10	9	6	5	3	2	1	0	18	14	25	36
44	2021/1/26 16:47:10	2526秒	微信	N/A	124.23.134.189(陕西-西安)	1/2	1/2	0	0	8	7	251	251	33	33	2	2	1	1	1/2	1/6	1056	1056	54	54
48	2021/1/26 16:49:37	141秒	微信	N/A	117.136.79.175(广东-深圳)	派3.41	2/3	根号3.78	根号3.78	5	5	200	第200位	8	8	4	4	三十度	三十度	6	6	23	23	6	6
49	2021/1/26 16:56:35	1126秒	微信	N/A	175.20.228.171(吉林-吉林)	3/4	3/4	0	0	7	7	28	28	141	1410	2	2	1/2	1/2	1	1	9	9	54	54
51	2021/1/26 17:04:14	764秒	微信	N/A	124.135.19'1/24(山东-德州)	1/2	概率	0	极限	6	几何	58	找规律	20	方程式	3	不知道	π/8	面积	3	收敛	1	几何	36	几何
54	2021/1/26 17:22:18	230秒	微信	N/A	223.104.3.162(北京-北京)	65/90	7/10	1	1	7	6	92	156	15	20	3	3	2	2.5	1	1	289	256	35	32
56	2021/1/26 17:32:58	1319秒	微信	N/A	222.29.102.207(北京-北京)	1/8	1/4,1/8	0	0,1	7	7,6	191	190,191	158	136,158	1	1,2,3	0.25	0.25,0	1/6	1/6	1056	1155	52	50,54
57	2021/1/26 18:00:52	525秒	微信	N/A	183.217.56.176(江西-南昌)	1	1/2,1	0	0	7	7,8	2	2,3	9	10,9	2	2,3	0	0	0	0,1	0	0	36	18,36
2	2021/1/26 17:29:25	158秒	微信	N/A	171.114.179.177(湖北-咸宁)	2	1,'2	2	2,'2	9	5,6	258	322	158	187,58,96	2	2,4,8	2	2,'2,4/3	1	9	196	159,258	2	2,4/1
4	2021/1/26 17:32:37	205秒	微信	N/A	14.30.29.51(广东-深圳)	8/35	2.2	4	2	16	8	6	6	22	26	12	12	1/2	1	1/6	2/3	4	6	6	6
12	2021/1/26 17:36:55	259秒	微信	N/A	162.105.155.202(北京-北京)	1/2	1/2	1/2	0	7	7	161	161	48	48	3	3	0.25	0.25	1/6	1/6	144	144	54	54
13	2021/1/26 17:39:13	764秒	微信	N/A	125.95.123.215(广东-佛山)	1/8	0.2,0.375	1/n	1/n	7	7	1995	1995	36	36	2	2	0.33π	0.33π	1/2	1/2	221	221	36	36
19	2021/1/26 17:52:21	1535秒	微信	N/A	111.52.56.41(山西-吕梁)	2/3	2/3	1/2	1/2	7	7	251	493	39	39	2	2	1/2	1/2	1/2	1/6	21	17	36	36
20	2021/1/26 17:52:34	220秒	微信	N/A	183.17.126.126(广东-深圳)	1/3	3/8,4/9	6/7	3/4,5/9	9	5	46	34,28	34	44,38	5	6,7	1/3	1/4	1	1/2	1	1/3,1/5	40	33,38
21	2021/1/26 17:56:24	851秒	微信	N/A	139.205.212.77(四川-绵阳)	1/2	01/2,1/3,2/3	1	0,1	7	6,7,8,9	30	29,30,31	24	18,24,32	1	1,2	1/3	1/2,1/3	1	1,2,3	100	100,160	36	20,24,36
22	2021/1/26 17:59:49	171秒	微信	N/A	27.198.175.164(山东-济宁)	4/5	2/5,1/2,7/10	373	637	7	7	8	8	57	37	2	1	47	74	5	5	40	50	360	300
23	2021/1/26 18:00:59	193秒	微信	N/A	110.81.226.191(福建-泉州)	1/2	2/3	500	467	9	5	22	20	5	4	10	5	1/2	1	5	30	2	1	25	20
25	2021/1/26 18:15:27	1785秒	微信	N/A	223.104.108.208(河南-开封)	1/4	1/3,1/2	1/2	0	7	8,6	227	119	64	52	4	6,3	1/16	1/18	1/6	0	81	64	26	33
27	2021/1/26 18:24:10	931秒	微信	N/A	125.210.251.89(浙江-杭州)	1/2	1/2	1/2	1/2	7	7	251	251	180	36	7	8	1/4	1/4	0	0	289	289	315/8	100,315/8
28	2021/1/26 18:29:54	1666秒	微信	N/A	112.47.152.152(福建-泉州)	1/2	1/3	1/2	1/2	7	8	198	199	39	38,39	3	2	pi/12＋1/6	pi/12＋1/6	1/5	1/6	81	2的9方	27	27
29	2021/1/26 18:33:12	323秒	微信	hehe[男,北京,海淀]	162.105.16.171(北京-北京)	1/8	1/8	0	0,1/2	5	5,7	251	251,493	143	143	2	2	1/4	-1/4,1/4	1/3	1/3	1056	1056	52	52
30	2021/1/26 18:34:46	2624秒	微信	乔雨佳[男,,]	115.27.215.203(北京-北京)	1/8	1/8,1/2,1/4	1/2	n,0,1/2	5	5,7,9	6572	6572	143	143,158	2	2	1/4	1/4	1	1	1056	1056	52	52
32	2021/1/26 19:17:35	3853秒	微信	李佳蔚[女,河北,沧州]	223.104.104.224(河北-沧州)	1/4	1/4	1/2	1/2,0	7	7	493	493	150	150	3	3,4	3/8	3/8	1/3	1/3	256	256	20	20
33	2021/1/26 19:17:51	2031秒	微信	llgyc[男,,]	114.242.249.231(北京-北京)	1/4	1/4	题目有误省略号定义有问题	0,1/2	5	5,7	251	251,493	143	143	1	1,2	1/4	1/4	2/7	1/6	1056	1056	52	52
34	2021/1/26 19:37:37	975秒	微信	Young[男,北京,海淀]	36.63.190.109(安徽-芜湖)	1/4	1/4	1/2	1/2	7	7	30	30	30	30	3	3	1	1	0	0	4	4	80	80
35	2021/1/26 20:43:06	2017秒	微信	H. LIU[男,巴塞罗那,]	182.104.57.138(江西-南昌)	1/2	1/2,2/3,3/4	1/2	1/2	7	7	251	2,511,392	143	143,149,121	3	3	1/2	1/2	2/5	1/3	1056	1056,9	52	52
36	2021/1/26 22:32:36	4230秒	微信	贺贺贺[男,上海,徐汇]	158.247.198.146(国外-韩国)	1/8	1/8,1/2	0	0	7	7	251	251	149	149	1	1	1/4	1/4	2/7	1/6	1056	1056	52	52
38	2021/1/26 23:04:12	1415秒	微信	cinba[男,,]	120.244.142.195(北京-北京)	1/2	1/2	1/2	1/2	7	7	493	492,493,494	143	143,140,135	1	1,2	3/2	3/2	1/6	1/6	65536	65536	42	42
