序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、"讣告"中讣的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2", 晚的读音是”wan3“, 大的读音是”da4“。）	2、你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1“	3、摈弃中“摈”的读音是？(回答方法同上)	4、你觉得其他人上一题可能会回答什么？(回答方法同上)	5、"瑾"的读音是？(回答方法同上)	6、你觉得其他人上一题可能会回答什么？(回答方法同上)	7、汩汩中“汩”的读音是？(回答方法同上)	8、你觉得其他人上一题可能会回答什么？(回答方法同上)	9、"袂"的读音是？(回答方法同上)	10、你觉得其他人上一题可能会回答什么？(回答方法同上)	11、"龟裂"中“龟”的读音是？(回答方法同上)	12、你觉得其他人上一题可能会回答什么？(回答方法同上)	13、"呶呶不休"中“呶”的读音是？(回答方法同上)	14、你觉得其他人上一题可能会回答什么？(回答方法同上)	15、"饿殍"中“殍”的读音是？(回答方法同上)	16、你觉得其他人上一题可能会回答什么？(回答方法同上)	17、"睢"的读音是？(回答方法同上)	18、你觉得其他人上一题可能会回答什么？(回答方法同上)	19、刚愎自用弃中“愎”的读音是？(回答方法同上)	20、你觉得其他人上一题可能会回答什么？(回答方法同上)	21、"韵"的读音是？(回答方法同上)	22、你觉得其他人上一题可能会回答什么？(回答方法同上)
2	2020/11/13 15:08:47	171秒	微信	aglc[女,江苏,泰州]	117.136.38.155(北京-北京)	bu3	bu3	bing3	bing3,bing4	jin3	jin3	gu3	gu3	que1	que1	jun1	jun1	nu1	nu1	piao3	fu3,piao3	sui1	sui1	bi4	bi4	yun4	yun4
3	2020/11/13 15:13:14	107秒	微信	Wxz[男,,]	115.27.196.177(北京-北京)	pu4	pu4	bing4	bing3	jin3	jin3	不知道	不知道	mei4	mei4	jun1	jun1	不知道	nu2	piao3	不知道	不知道	不知道	bi4	bi4	yun4	yun4
4	2020/11/13 19:25:12	186秒	微信	水怪Nick[未知,,]	115.27.205.227(北京-北京)	pu4	pu1,fu4,fu1	bin4	bin1	jin3	这个不可能读错吧	gu3	lei4,yue1	mei4	kuai4,que1	jun1	gui1	不知道	nu2,nu3	piao2	fu2	sui1	ju1,wei2	bi4	不可能不知道	yun4	学过拼音的都知道
5	2020/11/16 19:54:22	99秒	微信	Mr.YAO[男,北京,朝阳]	115.27.216.212(北京-北京)	fu4	fu3	bin4	bin3	jin3	jin3	gu3	gu1	mei4	jue2	jun1	gui1	nu3	nu2	piao2	fu2	ju1	zhi1	bi4	fu4	yun4	yun2
6	2020/11/16 19:54:36	122秒	微信	limoon[男,北京,海淀]	115.27.193.241(北京-北京)	bu4	pu4	bing3	bin4	jin3	yu2	gu3	lei4	que1	不知	gui1	不知道	die2	不知道	piao3	fu2	不知	zui1	bi4	fu4	yun4	jun1
7	2020/11/16 19:55:25	153秒	微信	左右[未知,,]	106.121.159.168(北京-北京)	bu1	bu1,bu4	bin4	bin4,bing3	jin3	jin3	gu3	gu3,gu1	mei4	mei4,que1	jun1	jun1,gui1	yu1	nu2	piao3	piao3,fu2	sui1	zi1	bi4	bi4,fu4	yun4	yun4
8	2020/11/16 19:55:32	175秒	微信	徐晨[女,,]	115.27.202.23(北京-北京)	bu4	不可能有其他	bing3	bin3	jin3	jing3	gu3	luo2	mei4	可能不知道	jun1	gui1	不知道	不知道	fu2	fu3	ju1	zhui1	bi4	没有别的	yu4	不知道
9	2020/11/16 19:56:15	192秒	微信	TMOCP[男,,]	115.27.206.76(北京-北京)	pu3	pu3,bu3	bing4	bing4	jin3	jin3	gu3	gu3	que1	que1,jue2	jun1	jun1,qun1,gui1	不知道	nu2	piao2	piao2	zhi4	zhi4	bi4	bi4,fu4	yun4	yun4
10	2020/11/16 19:56:59	228秒	微信	马三原[女,,]	115.27.205.230(北京-北京)	pu2	pu2,bu3,pu4	bing3	bing3,bin3,bin1	jin3	jin3,jing3,jin1	gu3	gu3,niao3,ri4,yue1	mei4	mei4,que1	jun1	jun1,gui1,zi1	不知道	nu3	fu1	fu1,fu2	zi1	zi1,jiu2,wei1	bi4	bi1,fu4	yun4,jun1	yun4,jun1
11	2020/11/16 19:57:19	142秒	微信	栀白[男,苏黎世,]	124.64.16.105(北京-北京)	bu4	yi1	bing3	bin1	jin3	jin3	gu3	bo2	mei4	pei4	jun1	gui1	nu2	nu2	piao3	fu2	zhui1	zhui1	bi2	bi2	yun4	yun4
12	2020/11/16 19:57:26	141秒	微信	卜通[男,北京,海淀]	124.64.18.203(北京-北京)	bu4	pu1	bin3	bing4	jin3	jing3	gu3	lei4	mei4	jue4	jun1	gui1	nu4	nu2	pao1	fu4	zhui1	wei2	bi4	fu4	yun4	yin1
13	2020/11/16 19:57:36	210秒	微信	xzh同学@不熬夜[男,北京,海淀]	115.27.197.217(北京-北京)	fu4	pu4,bu3	bin4	bing4,bin1	jin3	jin3	gu3	mi4	mei4	jue2	jun1	gui1	nao2	nu2	piao3	fu2	sui1	ju1	bi4	fu4	yun4	yun4
14	2020/11/16 19:57:46	97秒	微信	H.Ambrose[未知,河南,安阳]	115.27.200.126(北京-北京)	bu3	fu4	bing4	bin1	jin3	jing3	gu3	bo2	mei4	jue2	jun1	gui1	die2	nu2	piao2	fu2	ju1	zhun3	bi4	fu4	yun4	jun1
15	2020/11/16 19:58:16	151秒	微信	极品鲍鱼[男,辽宁,营口]	117.136.38.147(北京-北京)	不知道	pu3	bin4	bing3	jin3	jin3	mi4	gu3	mei4	jue2	jun1	gui1	nan2	nu2	piao3	piao3	sui1	zi1	bi4	fu4	yun4	yun4
16	2020/11/16 19:58:41	137秒	微信	潇[女,,]	124.64.16.9(北京-北京)	fu4	bu3	bing4	bing3	jin3	jin3	gu3	gu3	mei4	yang1	jun1	jun1	不知道	nu3	piao3	fu2	zhi4	zhui1	bi4	bi4	yun4	yun4
17	2020/11/16 19:58:54	158秒	微信	りそぅ[男,辽宁,沈阳]	223.104.3.54(北京-北京)	fu4	pu4	bin4	bin3	jin3	jin3	gu3	mi3	mei3	yang1	jun1	gui1	nao3	nu3	piao3	fu2	ju1	sui1	bi4	fu4	yun4	yun4
18	2020/11/16 19:59:00	115秒	微信	星痕[男,河北,唐山]	124.64.17.190(北京-北京)	fu3	fu3	bing4	bin4	jin3	jin3	gu3	gu3	mei4	jue2	jun1	gui1	nao2	nu2	piao3	piao3	ju1	ju1	bi4	fu4	yun4	yun4
19	2020/11/16 19:59:20	125秒	微信	Zugunruhe[男,,]	223.104.3.20(北京-北京)	fu4	fu4	bing4	bing4	jin3	jin3	gu3	gu3	mei4	mei4	gui1	jun1	nao2	nao2	piao3	piao3	sui1	sui1	bi4	bi4	yun4	yun4
20	2020/11/16 19:59:58	106秒	微信	🐱[女,北京,]	114.242.250.250(北京-北京)	bu4	bu4	bing4	bing4	jin3	jin3	gu3	gu3	mei4	mei4	jun1	jun1	nao3	nu2	piao3	fu2	ju1	ju1	bi4	bi4	yun4	yun4
21	2020/11/16 20:00:19	108秒	微信	August Huang[未知,,]	115.27.200.85(北京-北京)	bu4	bu3,bu4	bing4	bing3	jing3	jin3	gu3	mi4	mei4	que4	jun1	gui1	nu3	nu3	piao3	fu2	sui1	zhui1	bi4	fu4	yun4	yun4
