序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、"符合"中符的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”,黄的读音是“huang2",晚的读音是”wan3“,大的读音是”da4“。）	2、你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1“	3、档案中“档”的读音是？(回答方法同上)	4、你觉得其他人上一题可能会回答什么？(回答方法同上)	5、粗犷中“犷"的读音是？(回答方法同上)	6、你觉得其他人上一题可能会回答什么？(回答方法同上)	7、号召中“召”的读音是？(回答方法同上)	8、你觉得其他人上一题可能会回答什么？(回答方法同上)	9、羞赧中"赧”的读音是？(回答方法同上)	10、你觉得其他人上一题可能会回答什么？(回答方法同上)	11、"内疚"中“疚”的读音是？(回答方法同上)	12、你觉得其他人上一题可能会回答什么？(回答方法同上)	13、"针灸"中“灸”的读音是？(回答方法同上)	14、你觉得其他人上一题可能会回答什么？(回答方法同上)	15、"缜密"中“缜”的读音是？(回答方法同上)	16、你觉得其他人上一题可能会回答什么？(回答方法同上)	17、"发酵"中“酵”的读音是？(回答方法同上)	18、你觉得其他人上一题可能会回答什么？(回答方法同上)	19、创伤中“创”的读音是？(回答方法同上)	20、你觉得其他人上一题可能会回答什么？(回答方法同上)
1	2021/4/9 15:39:07	85秒	微信	N/A	115.27.193.206(北京-北京)	fu2	fu3	dang4	dang3	guang3	kuang4	zhao4	zhao1	nan3	she4	jiu4	jiu1	jiu1	jiu3	zhen3	？	jiao4	xiao4	chuang4	chuang1
2	2021/4/9 15:40:49	123秒	微信	N/A	115.27.194.168(北京-北京)	fu2	fu3	dang4	dang3	guang3	kuang4	zhao1	zhao4	nan3	she4	jiu1	jiu4	jiu3	jiu1	zhen3	shen4	jiao4	xiao4	chuang1	chuang4
3	2021/4/9 15:41:28	56秒	微信	N/A	115.27.192.200(北京-北京)	fu2	fu2	dang4	dang4	guang3	guang3	zhao4	zhao4	nan3	nan3	jiu4	jiu4	jiu3	jiu3	zhen3	zhen3	jiao4	jiao4	chuang1	chuang1
4	2021/4/9 15:42:55	152秒	微信	N/A	115.27.201.237(北京-北京)	fu3	fu2	dang3	dang4	guang3	kuang4	zhao1	zhao4	不知道	不知道	jiu1	jiu4	jiu1	jiu4	zhen3	zhen1	jiao4	xiao4	chuang4	chuang1
5	2021/4/9 15:45:09	275秒	微信	N/A	115.27.204.192(北京-北京)	fu3	fu2	dang3	dang4	guang3	kuang3	zhao4	zhao4	nan3	nian3	jiu4	jiu3	jiu3	zhi4	zhen3	zhen1	jiao4	xiao4	chuang1	chuang4
6	2021/4/9 15:45:33	132秒	微信	N/A	115.27.203.28(北京-北京)	fu3	fu3,fu2	dang4	dang3,dang4	guang4	guang4,kuang4	zhao4	zhao1,zhao4	nian3	nian3	jiu4	jiu1,jiu4	jiu3	jiu1,jiu3	zhen3	zhen1,zhen3	jiao4	jiao4,xiao4	chuang1	chuang1,chuang4
7	2021/4/9 15:45:40	134秒	微信	N/A	115.27.200.133(北京-北京)	fu2	fu3	dang3	dang4	guang3	kuang4	zhao4	zhao1	不知道	不知道	jiu1	jiu4	jiu3	jiu1	zhen3	zhen1	jiao4	jiao4	chuang1	chuang4
8	2021/4/9 15:49:03	408秒	微信	N/A	223.104.42.97(北京-北京)	fu2	fu2,fu3	dang4	dang4,dang3	guang3	guang3,kuang4	zhao4	zhao4,zhao1	nan3	nan3,bao4,hao3	jiu4	jiu4,jiu1	jiu1	jiu1	zhen3	zhen3	jiao4	jiao4	chuang1	chuang1,chuang4
9	2021/4/9 15:51:37	174秒	微信	N/A	115.27.193.251(北京-北京)	fu2	fu3	dang4	dang3	guang3	kuang4	zhao1	zhao4	nan3	nan4	jiu4	jiu3	jiu3	jiu1	zhen3	chen3	jiao4	xiao4	chuang1	chang4
10	2021/4/9 15:53:55	121秒	微信	N/A	36.112.192.187(北京-北京)	fu3	fu2	dang3	dang4	kuang4	guang3	zhao1	zhao4	不知道	不知道	jiu4	不知道	jiu1	不知道	zhen3	不知道	jiao4	xiao4	chuang4	chuang1
11	2021/4/9 15:54:04	129秒	微信	N/A	115.27.197.32(北京-北京)	fu3	fu2	dang4	dang3	guang3	kuang4	zhao1	zhao4	不知道	不知道	jiu4	jiu1	jiu4	jiu1	shen1	chen1	jiao4	jiao4	chuang4	chuang4
12	2021/4/9 15:56:38	179秒	微信	N/A	106.121.157.223(北京-北京)	fu2	fu3	dang4	dang3	guang3	kuang4	zhao1	zhao2	nian4	ran3	jiu4	不知道	jiu1	jiu3	zhen3	不知道	jiao4	xiao4	chuang1	chuang4
