序号	提交答卷时间	所用时间	来源详情	来自IP	1、您的围棋段位是？	2、黑先,净活	3、上一题你认为其他人比较可能选择的位置	4、黑先,净活	5、上一题你认为其他人比较可能选择的位置	6、黑先,净活	7、上一题你认为其他人比较可能选择的位置	8、黑先,净活	9、上一题你认为其他人比较可能选择的位置	10、黑先,净杀	11、上一题你认为其他人比较可能选择的位置	12、黑先,净杀	13、上一题你认为其他人比较可能选择的位置	14、黑先,净杀	15、上一题你认为其他人比较可能选择的位置	16、黑先,净杀	17、上一题你认为其他人比较可能选择的位置	18、黑先,净杀	19、上一题你认为其他人比较可能选择的位置	20、黑先,净杀	21、上一题你认为其他人比较可能选择的位置
1	2020/12/19 22:47:33	740秒	N/A	N/A	业余一段	T16	S15	Q19	Q17	T16	S16	S17	S15	S19	S16	T16	R19	T17	S14	T15	S16	T18	T16	S17	T13
2	2020/12/19 22:54:07	651秒	N/A	N/A	业余五段	S16	S16	Q17	Q17	P16	Q15	S17	S17	S19	S19	R18	S19	S16	S16	R16	R16	T17	T17	S17	S17
3	2020/12/19 22:56:43	1167秒	N/A	N/A	5段	T16	S15	Q19	Q19	S16	S16	T18	S17	S19	S19	Q19	Q19	T18	T18	T15	T15	T16	T16	T18	T18
4	2020/12/19 22:59:03	1217秒	N/A	N/A	2	T16	T16	Q19	Q19	S16	S16	S17	S17	T18	T18	R19	R19	T15	T15	T18	T18	T16	T16	S17	S17
5	2020/12/19 23:05:15	1712秒	N/A	N/A	二段	T16	T16	Q19	Q19	S16	S16	T18	T18	S19	S19	Q19	Q19	T18	T18	T15	T15	T16	T16	T18	T18
6	2020/12/19 23:05:39	1650秒	N/A	N/A	无	S15	S15	Q17	Q17	S16	S16	S17	S17,S15	S16	S16	R17	R17	T17	T17,T16	R16	R16,T15	T17	S16,T17,T18	S17	S17
7	2020/12/19 23:07:00	1171秒	N/A	N/A	业余5段	T16	T17	Q19	Q17	S16	T18	T18	S17	S19	Q18	Q19	R19	T18	T17	T15	R16	T16	S15	T18	T17
8	2020/12/19 23:09:57	1959秒	N/A	N/A	3段	T16	T16	Q19	Q19,Q18	S16	S16,T18	T18	T18,S17	S19	S19,T18	S19	S19,R19	T18	T18,T17	T15	T15	T16	T16,S15,T18	T18	T18,S17
9	2020/12/19 23:16:22	905秒	N/A	N/A	不知道	S16	S16,T17	Q17	Q18,Q17	S16	S16,P16	S17	S17	S16	S16,Q18,S19	Q18	Q18,R17	T17	T17,Q19	S16	S16,T15	T17	T17	不知道	不知道
10	2020/12/19 23:20:35	2663秒	N/A	N/A	无	T17	T17	Q17	Q17	P16	P16	S17	S15	S16	S16	R17	T16	S17	S17	S16	S16	T16	T16	T17	T17
